iter	F1	Logloss
0	0.730200658	0.6740852315
1	0.7507617729	0.6578691503
2	0.7651657464	0.6410679081
3	0.7925158169	0.6241077037
4	0.8029867824	0.6080370215
5	0.8147520549	0.5899439807
6	0.8240865535	0.5775899074
7	0.8207924209	0.5655227408
8	0.8204160171	0.5533656264
9	0.8187033648	0.5448944216
10	0.8216144519	0.5354080998
11	0.8282576883	0.5244583713112	0.8226738956	0.517752699
13	0.8209383472	0.5081938803
14	0.8310167456	0.5011729201
15	0.8305956907	0.4940980511
16	0.8318760249	0.4886795444
17	0.8322445898	0.4804500134
18	0.8322445898	0.4725782752
19	0.8339993777	0.4681623457
20	0.8348747955	0.4631428648
21	0.8348747955	0.4590167313
22	0.8352992557	0.4539225796
23	0.837047974	0.4502081078
24	0.8361630433	0.444347894
25	0.8405262705	0.4400926823
26	0.8370383139	0.4352390758
27	0.8409607945	0.4298073253
28	0.8418288663	0.4256540914
29	0.8435630756	0.4213122848
30	0.8474752978	0.4173092133
31	0.850940544	0.4129315678
32	0.8548481296	0.4097408201
33	0.8579005871	0.4072329318
34	0.8613527879	0.4046317731
35	0.8617794238	0.4013317711
36	0.8630940852	0.3977951306
37	0.8634827754	0.393086875
38	0.863907817	0.3908869754
39	0.8660282652	0.3874770115
40	0.8668742298	0.3857583469
41	0.8673407901	0.3835270485
42	0.8669175478	0.381347749
43	0.868608622	0.3767893785
44	0.868608622	0.3752545105
45	0.8715558875	0.372953535
46	0.8720278998	0.3706198471
47	0.870294656	0.368143908
48	0.8789705488	0.3655559569
49	0.8807086335	0.3639815147
50	0.8810578094	0.3624453121
51	0.8832813993	0.3595339995
52	0.8836977882	0.3578593558
53	0.8841138667	0.3557268276
54	0.8844553404	0.3546926637
55	0.8865260259	0.3528120499
56	0.8883385492	0.3502351542
57	0.887431362	0.3488547573
58	0.8883385492	0.3472037368
59	0.8883385492	0.3455800655
60	0.8886703429	0.3432932424
61	0.8890827236	0.3413531243
62	0.8904024066	0.339751839
63	0.8908142589	0.3384553301
64	0.8899902484	0.3362403881
65	0.8933684867	0.3341647963
66	0.893778895	0.3328352277
67	0.8950082953	0.3305857248
68	0.8948240839	0.3286688769
69	0.8975556116	0.3268411293
70	0.8962349661	0.3252509555
71	0.8962349661	0.3237366323
72	0.8978662968	0.3217356618
73	0.8976725674	0.3201006908
74	0.8976725674	0.3180428996
75	0.8976725674	0.3168398758
76	0.8985817681	0.3152142218
77	0.8997982832	0.314002345
78	0.8997982832	0.3125018646
79	0.9002031912	0.3104989187
80	0.9034544681	0.3087621918
81	0.9034544681	0.3073593588
82	0.9043731617	0.3053760221
83	0.9051834094	0.3045625882
84	0.9047784354	0.3021980581
85	0.906284605	0.3009738208
86	0.9077213026	0.2998826322
87	0.9077213026	0.2988370113
88	0.9077213026	0.2978545731
89	0.9085281041	0.2964074697
90	0.9085281041	0.2950415603
91	0.9089310581	0.2937736586
92	0.9109413733	0.2925495737
93	0.9113425477	0.2913588014
94	0.9113425477	0.2898710871
95	0.9096184373	0.2883115029
96	0.9096184373	0.2864383427
97	0.9104209484	0.2855994536
98	0.9100198406	0.2842709197
99	0.9100198406	0.2833062113
100	0.9108217611	0.2818165586
101	0.9108217611	0.2805821838
102	0.9108217611	0.2792497827
103	0.9100198406	0.2783180372
104	0.9104209484	0.2777558419
105	0.9121440105	0.2770153699
106	0.9134679625	0.2751648625
107	0.9134679625	0.2737640725
108	0.9138680217	0.2723673056
109	0.9150664335	0.2696882078
110	0.9146672569	0.2680873254
111	0.9146672569	0.2674650142
112	0.9146672569	0.2665494521
113	0.9154653167	0.2651005876
114	0.9154653167	0.2641210031
115	0.9162622037	0.2634430262
116	0.9170579206	0.261908412
117	0.9162622037	0.2609515944
118	0.9166602083	0.2593447364
119	0.917455341	0.2581607256
120	0.917455341	0.2567453664
121	0.9187786903	0.255409966
122	0.9201037397	0.2545988877
123	0.9197067821	0.253442984
124	0.9218269256	0.2518716506
125	0.9222230675	0.251226219
126	0.9218269256	0.2504658401
127	0.9224793726	0.2485103752
128	0.9243420028	0.2475624513
129	0.9243420028	0.2465820663
130	0.9243420028	0.2452198336
131	0.9247370388	0.2443942822
132	0.9252761415	0.2436561916
133	0.9255262411	0.2423215171
134	0.9282793494	0.2412161453
135	0.9274941878	0.2400399539
136	0.9284287625	0.2387254279
137	0.9299981471	0.2374308716
138	0.9290633623	0.2365458804
139	0.9303897753	0.2358860712
140	0.9309348149	0.234848476
141	0.9309348149	0.2343621451
142	0.931481354	0.232682386
143	0.9318733713	0.2318498866
144	0.9328138222	0.2310416964
145	0.9328138222	0.2298876664
146	0.9328138222	0.2290234502
147	0.9328138222	0.2276101358
148	0.9332056019	0.2267421746
149	0.9350923078	0.225033868
150	0.9350923078	0.2240962173
151	0.9350923078	0.2228422433
152	0.9350923078	0.2218248599
153	0.9350923078	0.2213196041
154	0.9350923078	0.2206925328
155	0.93470043	0.220078622
156	0.93470043	0.2196141859
157	0.93470043	0.2186900533
158	0.93470043	0.2176467475
159	0.9358751992	0.2161839171
160	0.9377697388	0.2149439787
161	0.938942199	0.2143469872
162	0.9410624936	0.2124676286
163	0.9410624936	0.2107859778
164	0.9418410657	0.2097092108
165	0.9418410657	0.2088337564
166	0.9418410657	0.2079704291
167	0.9435710088	0.2070550772
168	0.9449138201	0.2061101752
169	0.9449138201	0.2046965369
170	0.9468285895	0.2032043381
171	0.9468285895	0.2014857641
172	0.9468285895	0.2002973771
173	0.9468285895	0.2000115297
174	0.9458702358	0.1984855672
175	0.9462583599	0.1970221107
176	0.9487665527	0.1956772325
177	0.9478080027	0.1949744473
178	0.9478080027	0.1942810715
179	0.9487665527	0.1932528014
180	0.9487665527	0.1926049642
181	0.9499259109	0.1912498586
182	0.9518490613	0.1905392219
183	0.9516580727	0.1896106225
184	0.9516580727	0.1889521571
185	0.9526206921	0.1878547416
186	0.9533911876	0.1863296995
187	0.9545448077	0.1851849772
188	0.955312476	0.1843307622
189	0.9572440384	0.1831766478
190	0.9572440384	0.1820728814
191	0.9572440384	0.1809171032
192	0.9583936212	0.1798299304
193	0.9583936212	0.1792489417
194	0.9587762525	0.1785757668
195	0.9583936212	0.1777471483
196	0.9583936212	0.1770276726
197	0.9583936212	0.176242665
198	0.9591586027	0.1750496616
199	0.9591586027	0.1743469311
200	0.9591586027	0.1736417537
201	0.9591586027	0.1726153778
202	0.961480424	0.1719272858
203	0.9624532439	0.1712055084
204	0.9624532439	0.1702654279
205	0.9620710871	0.169632773
206	0.9624532439	0.1691574789
207	0.9644048014	0.1684107989
208	0.9647867313	0.1676933799
209	0.9653835511	0.1667390226
210	0.9644048014	0.1660631679
211	0.9647867313	0.165315436
212	0.9647867313	0.1642145339
213	0.9647867313	0.1636248704
214	0.9647867313	0.1629048748
215	0.9647867313	0.1623691149
216	0.9657655071	0.161727897
217	0.9681107522	0.1606424407
218	0.9690955338	0.159105603
219	0.9690955338	0.1582652816
220	0.9698581815	0.1570335782
221	0.9698581815	0.1566100182
222	0.9708450139	0.1559977994
