iter	Passed	Remaining
0	71	56923
1	135	54220
2	196	52073
3	260	51922
4	323	51364
5	389	51532
6	448	50770
7	510	50520
8	570	50115
9	631	49881
10	692	49640
11	752	49400
12	816	49411
13	881	49507
14	955	49981
15	1019	49964
16	1081	49808
17	1142	49620
18	1202	49421
19	1259	49123
20	1317	48860
21	1377	48725
22	1438	48582
23	1498	48455
24	1555	48214
25	1614	48065
26	1676	47986
27	1739	47947
28	1801	47895
29	1859	47732
30	1917	47562
31	1978	47478
32	2039	47400
33	2099	47303
34	2164	47315
35	2227	47279
36	2289	47212
37	2347	47075
38	2406	46948
39	2466	46870
40	2525	46747
41	2593	46800
42	2655	46740
43	2714	46637
44	2775	46572
45	2834	46460
46	2895	46394
47	2954	46285
48	3018	46257
49	3082	46240
50	3143	46172
51	3205	46115
52	3264	46006
53	3324	45927
54	3391	45936
55	3450	45840
56	3511	45777
57	3572	45701
58	3632	45616
59	3688	45495
60	3748	45407
61	3810	45353
62	3874	45328
63	3932	45222
64	3991	45135
65	4052	45071
66	4113	45003
67	4173	44931
68	4234	44861
69	4294	44789
70	4360	44772
71	4420	44695
72	4481	44625
73	4541	44560
74	4604	44512
75	4665	44448
76	4725	44370
77	4794	44379
78	4853	44292
79	4915	44236
80	4976	44175
81	5042	44150
82	5104	44097
83	5167	44044
84	5233	44020
85	5295	43966
86	5356	43899
87	5431	43942
88	5491	43869
89	5550	43790
90	5616	43758
91	5674	43671
92	5734	43593
93	5794	43521
94	5856	43462
95	5916	43386
96	5982	43356
97	6043	43292
98	6108	43255
99	6171	43197
100	6233	43142
101	6291	43056
102	6349	42970
103	6413	42919
104	6475	42863
105	6537	42799
106	6598	42734
107	6660	42676
108	6721	42610
109	6783	42553
110	6844	42484
111	6905	42417
112	6967	42358
113	7034	42332
114	7092	42245
115	7150	42163
116	7211	42100
117	7274	42043
118	7337	41987
119	7395	41906
120	7456	41840
121	7518	41781
122	7576	41702
123	7646	41683
124	7702	41593
125	7777	41605
126	7837	41531
127	7898	41469
128	7957	41392
129	8024	41356
130	8087	41299
131	8146	41227
132	8211	41180
133	8272	41117
134	8330	41034
135	8390	40965
136	8454	40913
137	8516	40853
138	8577	40787
139	8634	40707
140	8696	40643
141	8759	40590
142	8821	40528
143	8884	40474
144	8945	40407
145	9005	40337
146	9062	40257
147	9121	40184
148	9184	40126
149	9243	40057
150	9308	40009
151	9375	39971
152	9438	39912
153	9499	39847
154	9558	39774
155	9619	39710
156	9679	39643
157	9746	39602
158	9807	39536
159	9866	39466
160	9927	39400
161	9989	39342
162	10047	39265
163	10108	39202
164	10169	39137
165	10243	39121
166	10307	39067
167	10366	38996
168	10426	38929
169	10487	38865
170	10549	38806
171	10611	38745
