iter	Passed	Remaining
0	8	6644
1	19	7806
2	31	8329
3	42	8506
4	54	8660
5	66	8736
6	76	8690
7	88	8727
8	99	8771
9	111	8787
10	122	8754
11	133	8755
12	144	8742
13	155	8718
14	166	8689
15	177	8673
16	187	8642
17	198	8620
18	209	8631
19	221	8627
20	232	8627
21	243	8613
22	254	8589
23	265	8571
24	275	8553
25	286	8538
26	298	8535
27	308	8514
28	319	8501
29	331	8497
30	341	8482
31	353	8488
32	364	8469
33	375	8453
34	386	8437
35	397	8430
36	407	8402
37	418	8385
38	429	8372
39	440	8360
40	451	8350
41	462	8340
42	472	8326
43	484	8321
44	495	8311
45	506	8298
46	516	8281
47	528	8274
48	538	8260
49	550	8251
50	561	8243
51	572	8236
52	583	8219
53	594	8215
54	605	8200
55	616	8190
56	627	8182
57	638	8168
58	649	8158
59	660	8145
60	671	8133
61	682	8129
62	694	8127
63	706	8126
64	718	8119
65	729	8112
66	740	8099
67	751	8092
68	763	8084
69	773	8071
70	785	8060
71	796	8053
72	808	8049
73	819	8041
74	830	8030
75	841	8016
76	852	8003
77	863	7990
78	873	7976
79	885	7966
80	896	7955
81	906	7940
82	917	7929
83	928	7917
84	939	7905
85	950	7892
86	961	7882
87	972	7871
88	983	7860
89	995	7849
90	1006	7843
91	1017	7831
92	1028	7820
93	1039	7808
94	1050	7797
95	1061	7783
96	1072	7772
97	1083	7760
98	1094	7749
99	1105	7735
100	1115	7722
101	1126	7708
102	1137	7696
103	1148	7682
104	1159	7671
105	1169	7659
106	1181	7652
107	1192	7640
108	1203	7628
109	1214	7617
110	1225	7607
111	1236	7597
112	1247	7586
113	1258	7575
114	1270	7566
115	1281	7556
116	1292	7544
117	1303	7531
118	1314	7521
119	1325	7509
120	1336	7498
121	1347	7488
122	1358	7476
123	1369	7466
124	1380	7457
125	1392	7448
126	1403	7437
127	1414	7425
128	1425	7414
129	1436	7404
130	1447	7393
131	1458	7381
132	1469	7369
133	1479	7355
134	1490	7344
135	1502	7335
136	1513	7325
137	1524	7315
138	1535	7304
139	1546	7292
140	1557	7279
141	1568	7267
142	1579	7256
143	1590	7245
144	1601	7235
145	1612	7224
146	1623	7214
147	1635	7205
148	1646	7193
149	1657	7181
150	1667	7168
151	1678	7157
152	1689	7145
153	1700	7133
154	1711	7122
155	1722	7111
156	1734	7103
157	1746	7095
158	1757	7084
159	1768	7075
160	1780	7065
161	1791	7055
162	1802	7045
163	1813	7033
164	1824	7021
165	1835	7010
166	1846	6998
167	1858	6990
168	1869	6980
169	1880	6968
170	1891	6956
171	1901	6943
172	1912	6931
173	1923	6921
174	1934	6910
175	1945	6898
176	1956	6886
177	1967	6876
178	1979	6867
179	1990	6857
180	2001	6845
181	2012	6834
182	2023	6822
183	2034	6810
184	2045	6798
185	2055	6786
186	2066	6774
187	2077	6763
188	2089	6754
189	2100	6744
190	2111	6733
191	2122	6721
192	2133	6709
193	2143	6696
194	2154	6684
195	2165	6673
196	2176	6661
197	2187	6649
198	2198	6640
199	2209	6629
200	2220	6617
201	2231	6606
202	2242	6595
203	2253	6583
204	2264	6571
205	2274	6559
206	2285	6547
207	2296	6535
208	2307	6523
209	2317	6512
210	2328	6501
211	2339	6489
212	2350	6477
213	2361	6465
214	2372	6454
215	2383	6443
216	2394	6433
217	2405	6421
218	2416	6409
219	2426	6398
220	2438	6388
221	2449	6378
222	2460	6367
223	2472	6357
224	2483	6346
225	2494	6334
226	2504	6323
227	2515	6312
228	2526	6300
229	2537	6288
230	2548	6277
231	2559	6267
232	2570	6255
233	2581	6243
234	2592	6232
235	2603	6221
236	2614	6209
237	2626	6202
238	2637	6191
239	2648	6180
240	2659	6168
241	2670	6158
242	2682	6148
243	2693	6138
